Product_Number,Non_Proprietary_Name,Manufacturer,Dosage,Unit,Category_Description,Price,Quantity
71335-1714,hydroxyzine pamoate,Bryant Ranch Prepack,25,mg/1,"Antihistamine [EPC], Histamine Receptor Antagonists [MoA]",$7.68,24
0517-4310,Desmopressin Acetate,"American Regent, Inc.",4,ug/mL,"Factor VIII Activator [EPC], Increased Coagulation Factor VIII Activity [PE], Increased Coagulation Factor VIII Concentration [PE], Vasopressin Analog [EPC], Vasopressins [CS]",$42.11,75
70436-173,Mycophenolic Acid,"Slate Run Pharmaceuticals, LLC",360,mg/1,Antimetabolite Immunosuppressant [EPC],$180.79,59
0039-0223,glimepiride,Sanofi-Aventis U.S. LLC,4,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$113.83,78
0378-5010,thiothixene,Mylan Pharmaceuticals Inc.,10,mg/1,Typical Antipsychotic [EPC],$9.63,19
69784-130,pyridostigmine bromide,Woodward Pharma Services LLC,60,mg/5mL,"Cholinesterase Inhibitor [EPC], Cholinesterase Inhibitors [MoA]",$105.82,7
0310-0668,olaparib,AstraZeneca Pharmaceuticals LP,100,mg/1,"Poly(ADP-Ribose) Polymerase Inhibitor [EPC], Poly(ADP-Ribose) Polymerase Inhibitors [MoA]",$26.14,88
70518-1520,Lorazepam,REMEDYREPACK INC.,0.5,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$47.44,25
72789-133,Acarbose,"PD-Rx Pharmaceuticals, Inc.",100,mg/1,"alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",$136.86,3
70518-3092,Fluconazole,REMEDYREPACK INC.,150,mg/1,"Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]",$3.47,30
66993-263,Amlodipine and Atorvastatin,Prasco Laboratories,2.5; 10,mg/1; mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$3.61,7
55289-233,Propranolol Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",20,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$22.76,60
71205-119,azithromycin monohydrate,Proficient Rx LP,250,mg/1,"Macrolide Antimicrobial [EPC], Macrolides [CS]",$89.89,40
51862-943,Diazepam,Mayne Pharma,10,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$61.42,14
70771-1517,Lamotirigine,Zydus Lifesciences Limited,200,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Dihydrofolate Reductase Inhibitors [MoA], Mood Stabilizer [EPC], Organic Cation Transporter 2 Inhibitors [MoA]",$139.27,66
70518-3326,ATORVASTATIN CALCIUM,REMEDYREPACK INC.,20,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$9.06,60
43063-974,spironolactone,"PD-Rx Pharmaceuticals, Inc.",50,mg/1,"Aldosterone Antagonist [EPC], Aldosterone Antagonists [MoA]",$104.47,34
63629-1970,Vancomycin Hydrochloride,Bryant Ranch Prepack,250,mg/5mL,"Glycopeptide Antibacterial [EPC], Glycopeptides [CS]",$3.18,43
67877-225,Mycophenolate Mofetil,"Ascend Laboratories, LLC",500,mg/1,Antimetabolite Immunosuppressant [EPC],$9.74,97
59088-185,"Folic Acid, Vitamin D3",PureTek Corporation,1; 250,mg/1; ug/1,"Vitamin D [CS], Vitamin D [EPC]",$92.66,27
